AadhaarID,Name,Sex,Address,DOB,TotalTransactionAmount,AverageTransaction,MaxTransaction,MinTransaction,TransactionCount,Fraudulent
74645205996,Riaan Doctor,Male,"H.No. 30, Hegde, Farrukhabad-797050",29-04-1986,265164.5,29462.72,39755.32,15719.51,9,No
1.16162E+11,Shalv Dixit,Female,"H.No. 526, Agrawal Path, Chinsurah 318826",12-11-1952,133998,22333,40177.37,2049.19,6,No
8.66042E+11,Aarush Brahmbhatt,Female,"65, Gopal Road, South Dumdum 177225",12-04-1995,383263.39,27375.96,46816.5,6853.43,14,No
8.70562E+11,Aarush Gola,Male,"402, Kade Marg, Patna-374167",15-11-1981,95683.17,15947.19,26932.8,3149.28,6,No
8.35034E+11,Yasmin Sanghvi,Female,"86, Bhakta Street, Jaipur-258030",06-08-1990,159883.68,17764.85,32115.81,5238.52,9,No
8.966E+11,Aaryahi Raju,Male,"44, Barman Chowk, Shahjahanpur 823414",20-02-1992,214820.83,26852.6,49455.45,4657.78,8,No
28767548138,Nitya Tara,Female,"18, Chana, Gudivada-312604",07-07-1957,248897.42,22627.04,41948.61,4002.16,11,No
2.68774E+11,Aaryahi Andra,Female,"H.No. 668, Sarma Road, Korba-670860",22-02-1965,350766.34,29230.53,49772.38,9630.1,12,No
3.09452E+11,Priyansh Gopal,Male,"63/502, Acharya Nagar, Pondicherry 474916",06-01-1957,471797.27,31453.15,49861.86,2291.48,15,Yes
8.10509E+11,Ayesha Gopal,Male,"H.No. 108, Gandhi Street, Mirzapur 343961",23-10-2004,293659.9,24471.66,49171.83,932.06,12,No
9.58066E+11,Hansh Rau,Male,"33/71, Mahajan Zila, Barasat 382023",23-11-1972,159418.41,22774.06,41909.2,8731.11,7,No
44851579197,Tara Varkey,Male,"16, Khurana Zila, Loni 294240",19-12-1982,107943.04,17990.51,45908.75,1103.36,6,No
2.03571E+11,Yashvi Saran,Female,"88, Butala Zila, Danapur-866943",17-12-1956,155657.24,17295.25,44190.07,7107.26,9,No
4.17596E+11,Indranil Mangal,Female,"78/84, Varkey Road, Sagar-812308",24-08-1960,180956.11,25850.87,40564.33,10451.6,7,No
8.84183E+11,Arnav Reddy,Other,"403, Loke Ganj, Mumbai-955184",29-07-1993,379777.03,25318.47,45158.7,5320.19,15,No
2.54278E+11,Yuvraj  Yadav,Other,"H.No. 053, Chakrabarti Road, Pune 649837",15-06-1959,290236.42,26385.13,46744.25,2102.44,11,No
8.1665E+11,Priyansh Chaudry,Female,"36, Borah Path, Tiruchirappalli-272239",25-10-1977,436764.51,31197.47,48624.14,6581.55,14,Yes
23244123361,Neelofar Dhaliwal,Other,"269, Banerjee Ganj, Madurai 376182",22-11-1993,135188.64,16898.58,38802.87,346.74,8,No
3.76732E+11,Lavanya Bedi,Female,"H.No. 100, Dash Street, Agartala-900185",19-06-2002,397115.76,26474.38,41179.58,3675.67,15,No
1.3273E+11,Krish Boase,Other,"457, Dara Street, Tinsukia-810018",18-08-1964,167058.72,23865.53,47929.79,1837.85,7,No
213158299167,Diya Wal,Male,"H.No. 303, Hans Marg, Nagercoil-361721",19-09-1959,365033.46,26073.82,45419.72,678.27,14,No
5.85127E+11,Raunak Gokhale,Other,"H.No. 510, Borra, Haldia 926249",27-01-2000,333060.25,23790.02,43623.04,2088.24,14,No
84245607540,Stuvan Vora,Other,"54, Subramaniam Zila, Jalgaon 526771",20-02-1952,78433.19,13072.2,36960.15,1926.96,6,No
585033543868,Samiha Dewan,Male,"H.No. 22, Goda Marg, Shimla-769523",07-07-1970,307081.23,30708.12,49015.3,4030.37,10,No
6.60242E+11,Ira Kothari,Other,"19, Lall Marg, Chandigarh-503058",08-09-1976,295477.09,22729.01,46780.37,2382.53,13,No
2.44063E+11,Faiyaz Balan,Other,"472, Kade Circle, Bhagalpur 021260",23-10-1991,300712.45,20047.5,46500.65,727.1,15,No
5.72774E+11,Umang Bala,Other,"92, Borah Nagar, Ajmer 310962",10-07-1996,326837.52,23345.54,49244.94,1575.27,14,No
6.60487E+11,Anaya Sharaf,Male,"65, Srinivas Chowk, Baranagar-200928",08-05-1955,132276.35,22046.06,43258.18,5620.58,6,No
6.86537E+11,Vivaan Thaman,Other,"49/84, Kakar Ganj, Darbhanga-862369",31-03-1948,341215.24,26247.33,46235.06,266.54,13,No
1.69666E+11,Vihaan Chanda,Other,"56, Butala Marg, Serampore 341115",26-06-1985,382244.18,29403.4,49945.6,4639.23,13,No
8.83275E+11,Aniruddh Dar,Female,"11/39, Shukla Nagar, Maheshtala 034199",29-06-1947,170292.02,28382,49486.7,10429.66,6,No
2.78195E+11,Azad Bajwa,Other,"H.No. 05, Issac Road, Satna 521568",24-04-1951,465358.47,31023.9,49461.52,3083.33,15,Yes
6.05688E+11,Anay Raj,Male,"04/22, Baral Chowk, Ahmednagar-228898",28-09-1996,124708.72,17815.53,32861.2,7183.31,7,No
1.77345E+11,Alia Srivastava,Female,"H.No. 59, Bahri Marg, Mathura-991297",25-01-1951,316602.24,22614.45,44020.51,1394.43,14,No
2.29464E+11,Hridaan Sinha,Other,"17, Chad Path, Nanded 495511",18-08-1956,156586.2,31317.24,49806.26,13045.12,5,No
9.25299E+11,Pranay Khalsa,Other,"21/970, Varughese Path, Rewa 927589",12-10-1965,288713.29,24059.44,47352.72,810.21,12,No
7.90834E+11,Dharmajan Sanghvi,Male,"H.No. 09, Shanker Nagar, Kishanganj-214629",11-08-1971,240373.61,26708.18,48524.82,2893.14,9,No
2.33721E+11,Mamooty Hari,Other,"H.No. 77, Yogi Circle, Moradabad-216636",22-10-1966,128084.72,21347.45,45316.43,6714.19,6,No
7.71805E+11,Samar Garg,Female,"71/470, Brahmbhatt Circle, Ulhasnagar-590960",17-06-1999,183026.56,22878.32,45258.94,579.16,8,No
7.3997E+11,Vritika Kale,Female,"H.No. 306, Date Road, Gwalior-146147",24-09-2003,271431.33,20879.33,37854.95,425.21,13,No
8.77222E+11,Eshani Chhabra,Male,"H.No. 165, Butala Road, Karnal 778265",16-07-2006,175950.72,21993.84,38961.71,5235.56,8,No
9.39252E+11,Aayush Mand,Female,"99/255, Borra Nagar, Siliguri-516480",05-02-1975,381291.94,29330.15,49059.6,7334.83,13,No
7.46966E+11,Myra Kar,Female,"368, Rama Street, Thrissur 339055",16-07-1945,188315.58,20923.95,39566.91,1072.03,9,No
8.33987E+11,Ryan Krishnamurthy,Other,"76/655, Kala Circle, Raipur 765289",04-07-1955,408029.99,34002.5,49347.77,3059.91,12,No
54857417215,Vaibhav Dhar,Other,"91/111, Randhawa Nagar, Vasai-Virar-981789",12-04-1999,338990.76,30817.34,43710.14,16459.32,11,No
21557325737,Nitya Dhillon,Female,"786, Chaudhari Zila, Amravati-766053",23-12-1978,289409.55,28940.95,48574.79,7099.47,10,No
8.0851E+11,Priyansh Wable,Female,"30, Babu Marg, Indore 589552",17-05-1983,236873.64,16919.55,42589.15,3448.76,14,No
6.47725E+11,Nakul Mall,Other,"60/96, Ravi Street, Malegaon-582631",02-10-1992,264944.32,24085.85,44480.91,526.04,11,No
8.73959E+11,Dishani Bhargava,Male,"25/31, Arya Zila, Hyderabad-098196",27-02-1946,99961.3,19992.26,47230.29,2068.68,5,No
1.55333E+11,Amani Ravel,Female,"343, Trivedi Circle, Burhanpur 041209",07-06-2003,134486.69,26897.34,44954.09,6951.88,5,No
7.36078E+11,Faiyaz Karpe,Male,"442, Barad Zila, Mirzapur 617061",18-07-1977,183102.56,26157.51,47040.72,8227.86,7,No
5.56332E+11,Lakshay Sankar,Female,"H.No. 72, Dixit Street, Mangalore-155799",16-08-1981,121415.17,24283.03,42888.9,462.05,5,No
4.16432E+11,Indranil Lal,Male,"908, Lad Nagar, Thrissur 130523",11-02-1950,108599.38,13574.92,29850.6,562.77,8,No
862149756411,Pryansh Devan,Male,"H.No. 584, Sharma Chowk, Junagadh-342346",10-06-1951,125585.35,17940.76,42087.11,1521.06,7,No
50702608698,Ivan Sundaram,Male,"76, Shenoy, Imphal-966395",19-11-1969,129983.59,18569.08,48439.65,3409.65,7,No
6.8729E+11,Alisha Chacko,Other,"64/98, Issac Path, Raipur 562531",30-01-1959,283944.08,21841.85,47120.23,4201.23,13,No
6.49133E+11,Umang Bora,Other,"H.No. 505, Kaul Ganj, Muzaffarpur 649383",11-06-1951,326685.47,25129.65,46737.76,1807.84,13,No
613081742154,Ssanvi Ramanathan,Female,"65/533, Suresh Nagar, Panchkula 461172",13-05-1985,199145.28,24893.16,40867.78,5979.17,8,No
4.85525E+11,Kiara Handa,Other,"H.No. 09, Kashyap Nagar, Mira-Bhayandar-088050",01-03-1949,175947.94,19549.77,48241.2,3249.58,9,No
4.25477E+11,Divit Thakkar,Male,"H.No. 55, Baral Marg, Kumbakonam-647715",28-06-1986,146340.4,20905.77,42016.64,934.29,7,No
8.80858E+11,Aniruddh Choudhury,Other,"156, Chada Ganj, Jhansi 800401",15-09-1947,243353.36,34764.77,47761.01,11390.25,7,No
